name,type,category,population
Comoros,1,World,3693894310
Comoros,2,Comoros,328328
Comoros,2,World,4442072043
Comoros,3,Comoros,431119
Comoros,3,World,5313760546
Comoros,4,Comoros,536758
Comoros,4,World,6146518945
Comoros,5,Comoros,656024
Comoros,5,World,6983128974
Comoros,6,Comoros,730216
Comoros,6,World,7424079545
Comoros,7,Comoros,806166
Comoros,7,World,7838444437
Cook Islands,1,Cook Islands,20470
Cook Islands,1,World,3694116191
Cook Islands,2,Cook Islands,17651
Cook Islands,2,World,4442382720
Cook Islands,3,Cook Islands,17123
Cook Islands,3,World,5314174542
Cook Islands,4,Cook Islands,15897
Cook Islands,4,World,6147039806
Cook Islands,5,Cook Islands,17212
Cook Islands,5,World,6983767786
Cook Islands,6,Cook Islands,17695
Cook Islands,6,World,7424792066
Cook Islands,7,Cook Islands,17029
Cook Islands,7,World,7839233574
Costa Rica,1,Costa Rica,1855697
Costa Rica,1,World,3692280964
Costa Rica,2,Costa Rica,2414303
Costa Rica,2,World,4439986068
Costa Rica,3,Costa Rica,3158253
Costa Rica,3,World,5311033412
Costa Rica,4,Costa Rica,3979193
Costa Rica,4,World,6143076510
Costa Rica,5,Costa Rica,4622252
Costa Rica,5,World,6979162746
Costa Rica,6,Costa Rica,4895242
Costa Rica,6,World,7419914519
Costa Rica,7,Costa Rica,5123105
Costa Rica,7,World,7834127498
Croatia,1,Croatia,4492638
Croatia,1,World,3689644023
Croatia,2,Croatia,4680144
Croatia,2,World,4437720227
Croatia,3,Croatia,4873707
Croatia,3,World,5309317958
Croatia,4,Croatia,4548434
Croatia,4,World,6142507269
Croatia,5,Croatia,4368682
Croatia,5,World,6979416316
Croatia,6,Croatia,4254815
Croatia,6,World,7420554946
Croatia,7,Croatia,4096868
Croatia,7,World,7835153735
Cuba,1,Cuba,8869636
Cuba,1,World,3685267025
Cuba,2,Cuba,9809107
Cuba,2,World,4432591264
Cuba,3,Cuba,10626680
Cuba,3,World,5303564985
Cuba,4,Cuba,11105791
Cuba,4,World,6135949912
Cuba,5,Cuba,11290417
Cuba,5,World,6972494581
Cuba,6,Cuba,11339894
Cuba,6,World,7413469867
Cuba,7,Cuba,11300698
Cuba,7,World,7827949905
Curacao,1,Curacao,150385
Curacao,1,World,3693986276
Curacao,2,Curacao,156851
Curacao,2,World,4442243520
Curacao,3,Curacao,155446
Curacao,3,World,5314036219
Curacao,4,Curacao,141424
Curacao,4,World,6146914279
Curacao,5,Curacao,159380
Curacao,5,World,6983625618
Curacao,6,Curacao,169572
Curacao,6,World,7424640189
Curacao,7,Curacao,189288
Curacao,7,World,7839061315
Cyprus,1,Cyprus,640804
Cyprus,1,World,3693495857
Cyprus,2,Cyprus,679327
Cyprus,2,World,4441721044
Cyprus,3,Cyprus,788500
Cyprus,3,World,5313403165
Cyprus,4,Cyprus,948237
Cyprus,4,World,6146107466
Cyprus,5,Cyprus,1129686
Cyprus,5,World,6982655312
Cyprus,6,Cyprus,1187280
Cyprus,6,World,7423622481
Cyprus,7,Cyprus,1237537
Cyprus,7,World,7838013066
Czech Republic,1,Czech Republic,9795744
Czech Republic,1,World,3684340917
Czech Republic,2,Czech Republic,10270060
Czech Republic,2,World,4432130311
Czech Republic,3,Czech Republic,10301192
Czech Republic,3,World,5303890473
Czech Republic,4,Czech Republic,10234710
Czech Republic,4,World,6136820993
Czech Republic,5,Czech Republic,10464749
Czech Republic,5,World,6973320249
Czech Republic,6,Czech Republic,10523798
Czech Republic,6,World,7414285963
Czech Republic,7,Czech Republic,10530953
Czech Republic,7,World,7828719650
Denmark,1,Denmark,4922963
Denmark,1,World,3689213698
Denmark,2,Denmark,5125392
Denmark,2,World,4437274979
Denmark,3,Denmark,5144623
Denmark,3,World,5309047042
Denmark,4,Denmark,5340655
Denmark,4,World,6141715048
Denmark,5,Denmark,5550849
Denmark,5,World,6978234149
Denmark,6,Denmark,5677796
Denmark,6,World,7419131965
Denmark,7,Denmark,5825641
Denmark,7,World,7833424962
Djibouti,1,Djibouti,144379
Djibouti,1,World,3693992282
Djibouti,2,Djibouti,324121
Djibouti,2,World,4442076250
Djibouti,3,Djibouti,577173
Djibouti,3,World,5313614492
Djibouti,4,Djibouti,742033
Djibouti,4,World,6146313670
Djibouti,5,Djibouti,919199
Djibouti,5,World,6982865799
Djibouti,6,Djibouti,1006259
Djibouti,6,World,7423803502
Djibouti,7,Djibouti,1090156
Djibouti,7,World,7838160447
Dominica,1,Dominica,68895
Dominica,1,World,3694067766
Dominica,2,Dominica,72978
Dominica,2,World,4442327393
Dominica,3,Dominica,69481
Dominica,3,World,5314122184
Dominica,4,Dominica,68346
Dominica,4,World,6146987357
Dominica,5,Dominica,68755
Dominica,5,World,6983716243
Dominica,6,Dominica,70007
Dominica,6,World,7424739754
Dominica,7,Dominica,71995
Dominica,7,World,7839178608
Dominican Republic,1,Dominican Republic,4475871
Dominican Republic,1,World,3689660790
Dominican Republic,2,Dominican Republic,5755800
Dominican Republic,2,World,4436644571
Dominican Republic,3,Dominican Republic,7129004
Dominican Republic,3,World,5307062661
Dominican Republic,4,Dominican Republic,8540791
Dominican Republic,4,World,6138514912
Dominican Republic,5,Dominican Republic,9775755
Dominican Republic,5,World,6974009243
Dominican Republic,6,Dominican Republic,10405832
Dominican Republic,6,World,7414403929
Dominican Republic,7,Dominican Republic,10999664
Dominican Republic,7,World,7828250939
DR Congo,1,DR Congo,20151733
DR Congo,1,World,3673984928
DR Congo,2,DR Congo,26708686
DR Congo,2,World,4415691685
DR Congo,3,DR Congo,35987541
DR Congo,3,World,5278204124
DR Congo,4,DR Congo,48616317
DR Congo,4,World,6098439386
DR Congo,5,DR Congo,66391257
DR Congo,5,World,6917393741
DR Congo,6,DR Congo,78656904
DR Congo,6,World,7346152857
DR Congo,7,DR Congo,92853164
DR Congo,7,World,7746397439
Ecuador,1,Ecuador,6172215
Ecuador,1,World,3687964446
Ecuador,2,Ecuador,8135845
Ecuador,2,World,4434264526
Ecuador,3,Ecuador,10449837
Ecuador,3,World,5303741828
Ecuador,4,Ecuador,12626507
Ecuador,4,World,6134429196
Ecuador,5,Ecuador,14989585
Ecuador,5,World,6968795413
Ecuador,6,Ecuador,16195902
Ecuador,6,World,7408613859
Ecuador,7,Ecuador,17588595
Ecuador,7,World,7821662008
Egypt,1,Egypt,34781986
Egypt,1,World,3659354675
Egypt,2,Egypt,43748556
Egypt,2,World,4398651815
Egypt,3,Egypt,57214630
Egypt,3,World,5256977035
Egypt,4,Egypt,71371371
Egypt,4,World,6075684332
Egypt,5,Egypt,87252413
Egypt,5,World,6896532585
Egypt,6,Egypt,97723799
Egypt,6,World,7327085962
Egypt,7,Egypt,107465134
Egypt,7,World,7731785469
El Salvador,1,El Salvador,3619090
El Salvador,1,World,3690517571
El Salvador,2,El Salvador,4508992
El Salvador,2,World,4437891379
El Salvador,3,El Salvador,5367179
El Salvador,3,World,5308824486
El Salvador,4,El Salvador,5958482
El Salvador,4,World,6141097221
El Salvador,5,El Salvador,6114034
El Salvador,5,World,6977670964
El Salvador,6,El Salvador,6231066
El Salvador,6,World,7418578695
El Salvador,7,El Salvador,6292731
El Salvador,7,World,7832957872
Equatorial Guinea,1,Equatorial Guinea,316955
Equatorial Guinea,1,World,3693819706
Equatorial Guinea,2,Equatorial Guinea,282509
Equatorial Guinea,2,World,4442117862
Equatorial Guinea,3,Equatorial Guinea,465549
Equatorial Guinea,3,World,5313726116
Equatorial Guinea,4,Equatorial Guinea,684977
Equatorial Guinea,4,World,6146370726
Equatorial Guinea,5,Equatorial Guinea,1094524
Equatorial Guinea,5,World,6982690474
Equatorial Guinea,6,Equatorial Guinea,1346973
Equatorial Guinea,6,World,7423462788
Equatorial Guinea,7,Equatorial Guinea,1596049
Equatorial Guinea,7,World,7837654554
Eritrea,1,Eritrea,1272748
Eritrea,1,World,3692863913
Eritrea,2,Eritrea,1657982
Eritrea,2,World,4440742389
Eritrea,3,Eritrea,2149960
Eritrea,3,World,5312041705
Eritrea,4,Eritrea,2392880
Eritrea,4,World,6144662823
Eritrea,5,Eritrea,3147727
Eritrea,5,World,6980637271
Eritrea,6,Eritrea,3340006
Eritrea,6,World,7421469755
Eritrea,7,Eritrea,3555868
Eritrea,7,World,7835694735
Estonia,1,Estonia,1361999
Estonia,1,World,3692774662
Estonia,2,Estonia,1476983
Estonia,2,World,4440923388
Estonia,3,Estonia,1570674
Estonia,3,World,5312620991
Estonia,4,Estonia,1396877
Estonia,4,World,6145658826
Estonia,5,Estonia,1331535
Estonia,5,World,6982453463
