name,type,category,population
El Salvador,1,El Salvador,3619090
El Salvador,1,North America,311815516
El Salvador,2,El Salvador,4508992
El Salvador,2,North America,363784369
El Salvador,3,El Salvador,5367179
El Salvador,3,North America,415899246
El Salvador,4,El Salvador,5958482
El Salvador,4,North America,480111102
El Salvador,5,El Salvador,6114034
El Salvador,5,North America,536606617
El Salvador,6,El Salvador,6231066
El Salvador,6,North America,564152784
El Salvador,7,El Salvador,6292731
El Salvador,7,North America,587943862
Equatorial Guinea,1,Equatorial Guinea,316955
Equatorial Guinea,1,Africa,365127393
Equatorial Guinea,2,Equatorial Guinea,282509
Equatorial Guinea,2,Africa,481253868
Equatorial Guinea,3,Equatorial Guinea,465549
Equatorial Guinea,3,Africa,637685080
Equatorial Guinea,4,Equatorial Guinea,684977
Equatorial Guinea,4,Africa,818261055
Equatorial Guinea,5,Equatorial Guinea,1094524
Equatorial Guinea,5,Africa,1054133548
Equatorial Guinea,6,Equatorial Guinea,1346973
Equatorial Guinea,6,Africa,1199755469
Equatorial Guinea,7,Equatorial Guinea,1596049
